States,01-22-2020,01-23-2020,01-24-2020,01-25-2020,01-26-2020,01-27-2020,01-28-2020,01-29-2020,01-30-2020,01-31-2020,02-01-2020,02-02-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,02-07-2020,02-08-2020,02-09-2020,02-10-2020,02-11-2020,02-12-2020,02-13-2020,02-14-2020,02-15-2020,02-16-2020,02-17-2020,02-18-2020,02-19-2020,02-20-2020,02-21-2020,02-22-2020,02-23-2020,02-24-2020,02-25-2020,02-26-2020,02-27-2020,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020
Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,12.0,29.0,39.0,46.0,78.0,83.0,131.0,157.0,196.0,242,381,517,587
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,,1.0,1.0,3.0,6.0,9.0,12.0,15.0,20.0,30.0,34,41,56,58
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0,0,0
Arizona,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,9.0,9.0,9.0,12.0,13.0,18.0,20.0,27.0,45.0,78.0,118.0,152.0,235.0,326,401,508,665
Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,6.0,6.0,12.0,16.0,22.0,22.0,33.0,62.0,96.0,122.0,165.0,192.0,219,280,335,381
California,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,177.0,221.0,282.0,340.0,426.0,557.0,698.0,751.0,952.0,1177.0,1364.0,1646.0,2108.0,2538,2998,3899,4657
Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,34.0,45.0,49.0,101.0,131.0,160.0,160.0,184.0,277.0,363.0,390.0,591.0,704.0,723,1021,1430,1433
Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,11.0,22.0,24.0,30.0,68.0,68.0,159.0,194.0,194.0,327.0,415.0,618,875,1012,1291
Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,4.0,6.0,7.0,8.0,16.0,19.0,30.0,38.0,45.0,56.0,68.0,104,119,130,163
Diamond Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,49.0,49,49,49,49
District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,10.0,10.0,10.0,10.0,16.0,22.0,22.0,31.0,40.0,71.0,77.0,102.0,120.0,141,187,231,271
Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,28.0,35.0,50.0,76.0,115.0,155.0,216.0,314.0,417.0,563.0,659.0,1004.0,1227.0,1412,1682,2357,2900
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,23.0,31.0,42.0,66.0,99.0,121.0,146.0,199.0,287.0,420.0,507.0,621.0,772.0,1026,1247,1525,2000
Grand Princess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,21.0,21.0,21.0,21.0,20.0,21.0,21.0,22.0,23.0,23.0,30.0,28.0,28,28,28,28
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,5.0,12.0,14.0,15.0,27.0,29.0,32,37,45,51
